year_level,avg,err_low,err_high,results_year,domain,test_type,school_id,school_name
Year 5,506,491,522,2014,Spelling,Paper,44044,"Newport Lakes Primary School, Newport, VIC"
Year 5,519,501,537,2014,Grammar,Paper,44044,"Newport Lakes Primary School, Newport, VIC"
Year 5,538,523,552,2014,Numeracy,Paper,44044,"Newport Lakes Primary School, Newport, VIC"
Year 5,507,492,522,2014,Reading,Paper,44664,"Footscray West Primary School, West Footscray, VIC"
Year 5,473,458,488,2014,Writing,Paper,44664,"Footscray West Primary School, West Footscray, VIC"
Year 5,503,489,517,2014,Spelling,Paper,44664,"Footscray West Primary School, West Footscray, VIC"
Year 5,523,507,540,2014,Grammar,Paper,44664,"Footscray West Primary School, West Footscray, VIC"
Year 5,514,500,527,2014,Numeracy,Paper,44664,"Footscray West Primary School, West Footscray, VIC"
Year 5,530,513,547,2014,Reading,Paper,44224,"Albert Park Primary School, Albert Park, VIC"
Year 5,497,481,513,2014,Writing,Paper,44224,"Albert Park Primary School, Albert Park, VIC"
Year 5,506,490,521,2014,Spelling,Paper,44224,"Albert Park Primary School, Albert Park, VIC"
Year 5,513,495,531,2014,Grammar,Paper,44224,"Albert Park Primary School, Albert Park, VIC"
Year 5,508,493,524,2014,Numeracy,Paper,44224,"Albert Park Primary School, Albert Park, VIC"
Year 5,523,500,547,2014,Reading,Paper,50217,"Newport Gardens Primary School, Newport, VIC"
Year 5,480,458,502,2014,Writing,Paper,50217,"Newport Gardens Primary School, Newport, VIC"
Year 5,502,480,523,2014,Spelling,Paper,50217,"Newport Gardens Primary School, Newport, VIC"
Year 5,511,486,537,2014,Grammar,Paper,50217,"Newport Gardens Primary School, Newport, VIC"
Year 5,508,488,528,2014,Numeracy,Paper,50217,"Newport Gardens Primary School, Newport, VIC"
Year 5,548,530,567,2014,Reading,Paper,44461,"Kensington Primary School, Kensington, VIC"
Year 5,514,496,532,2014,Writing,Paper,44461,"Kensington Primary School, Kensington, VIC"
Year 5,521,504,539,2014,Spelling,Paper,44461,"Kensington Primary School, Kensington, VIC"
Year 5,525,505,545,2014,Grammar,Paper,44461,"Kensington Primary School, Kensington, VIC"
Year 5,505,488,521,2014,Numeracy,Paper,44461,"Kensington Primary School, Kensington, VIC"
Year 5,474,443,505,2014,Reading,Paper,45538,"Bayside P-12 College, Williamstown, VIC"
Year 5,462,434,490,2014,Writing,Paper,45538,"Bayside P-12 College, Williamstown, VIC"
Year 5,478,450,506,2014,Spelling,Paper,45538,"Bayside P-12 College, Williamstown, VIC"
Year 5,459,427,492,2014,Grammar,Paper,45538,"Bayside P-12 College, Williamstown, VIC"
Year 5,483,457,509,2014,Numeracy,Paper,45538,"Bayside P-12 College, Williamstown, VIC"
Year 5,475,455,495,2014,Reading,Paper,44919,"Altona North Primary School, Altona North, VIC"
Year 5,438,420,457,2014,Writing,Paper,44919,"Altona North Primary School, Altona North, VIC"
Year 5,476,458,495,2014,Spelling,Paper,44919,"Altona North Primary School, Altona North, VIC"
Year 5,487,466,509,2014,Grammar,Paper,44919,"Altona North Primary School, Altona North, VIC"
Year 5,466,447,484,2014,Numeracy,Paper,44919,"Altona North Primary School, Altona North, VIC"
Year 5,545,515,576,2014,Reading,Paper,44634,"Spotswood Primary School, Spotswood, VIC"
Year 5,468,440,496,2014,Writing,Paper,44634,"Spotswood Primary School, Spotswood, VIC"
Year 5,501,473,529,2014,Spelling,Paper,44634,"Spotswood Primary School, Spotswood, VIC"
Year 5,496,463,528,2014,Grammar,Paper,44634,"Spotswood Primary School, Spotswood, VIC"
Year 5,513,488,538,2014,Numeracy,Paper,44634,"Spotswood Primary School, Spotswood, VIC"
Year 5,553,539,567,2014,Reading,Paper,44693,"Kingsville Primary School, Yarraville, VIC"
Year 5,514,500,527,2014,Writing,Paper,44693,"Kingsville Primary School, Yarraville, VIC"
Year 5,510,497,523,2014,Spelling,Paper,44693,"Kingsville Primary School, Yarraville, VIC"
Year 5,540,524,555,2014,Grammar,Paper,44693,"Kingsville Primary School, Yarraville, VIC"
Year 5,529,517,542,2014,Numeracy,Paper,44693,"Kingsville Primary School, Yarraville, VIC"
Year 5,524,511,537,2014,Reading,Paper,44273,"Williamstown North Primary School, Williamstown, VIC"
Year 5,467,454,481,2014,Writing,Paper,44273,"Williamstown North Primary School, Williamstown, VIC"
Year 5,492,480,504,2014,Spelling,Paper,44273,"Williamstown North Primary School, Williamstown, VIC"
Year 5,524,509,538,2014,Grammar,Paper,44273,"Williamstown North Primary School, Williamstown, VIC"
Year 5,527,514,539,2014,Numeracy,Paper,44273,"Williamstown North Primary School, Williamstown, VIC"
Year 5,546,529,562,2014,Reading,Paper,44515,"Yarraville West Primary School, Yarraville, VIC"
Year 5,508,492,524,2014,Writing,Paper,44515,"Yarraville West Primary School, Yarraville, VIC"
Year 5,532,517,548,2014,Spelling,Paper,44515,"Yarraville West Primary School, Yarraville, VIC"
Year 5,547,529,565,2014,Grammar,Paper,44515,"Yarraville West Primary School, Yarraville, VIC"
Year 5,522,507,537,2014,Numeracy,Paper,44515,"Yarraville West Primary School, Yarraville, VIC"
Year 5,429,398,460,2014,Reading,Paper,44948,"Carlton Primary School, Carlton, VIC"
Year 5,452,423,481,2014,Writing,Paper,44948,"Carlton Primary School, Carlton, VIC"
