Net recurrent income,$ Total,$ per student,year,school_id,school_name
Total gross income,4310586,10427,2016,44062,"Footscray Primary School, Footscray, VIC"
Total net recurrent income,3422248,9527,2016,44485,"Carlton Gardens Primary School, Carlton, VIC"
Subtotal,0,0,2016,40427,"Williamstown High School, Williamstown, VIC"
Total gross income,3608540,14948,2016,45587,"Altona College, Altona, VIC"
"Fees, charges and parent contributions",125853,521,2016,45587,"Altona College, Altona, VIC"
Other private sources,67020,175,2016,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
"Fees, charges and parent contributions",165756,434,2016,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
State / territory government recurring funding,3035508,7946,2016,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Australian government recurrent funding,786631,2059,2016,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
"Fees, charges and parent contributions",263465,733,2016,44485,"Carlton Gardens Primary School, Carlton, VIC"
Subtotal,0,0,2016,44513,"Middle Park Primary School, Middle Park, VIC"
Income allocated to debt servicing,0,0,2016,44513,"Middle Park Primary School, Middle Park, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2016,44513,"Middle Park Primary School, Middle Park, VIC"
Income allocated to current capital projects,0,0,2016,44513,"Middle Park Primary School, Middle Park, VIC"
Less deductions,0,0,2016,44513,"Middle Park Primary School, Middle Park, VIC"
Total gross income,4913911,9360,2016,44513,"Middle Park Primary School, Middle Park, VIC"
Other private sources,331872,632,2016,44513,"Middle Park Primary School, Middle Park, VIC"
"Fees, charges and parent contributions",376171,717,2016,44513,"Middle Park Primary School, Middle Park, VIC"
State / territory government recurring funding,3357557,6395,2016,44513,"Middle Park Primary School, Middle Park, VIC"
Australian government recurrent funding,848311,1616,2016,44513,"Middle Park Primary School, Middle Park, VIC"
Total gross income,4054915,10615,2016,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Less deductions,0,0,2016,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Income allocated to current capital projects,0,0,2016,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2016,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Australian government recurrent funding,1394046,1927,2016,44270,"North Melbourne Primary School, North Melbourne, VIC"
State / territory government recurring funding,4676260,6462,2016,44270,"North Melbourne Primary School, North Melbourne, VIC"
"Fees, charges and parent contributions",471679,652,2016,44270,"North Melbourne Primary School, North Melbourne, VIC"
Other private sources,155577,215,2016,44270,"North Melbourne Primary School, North Melbourne, VIC"
Total gross income,6697562,9256,2016,44270,"North Melbourne Primary School, North Melbourne, VIC"
Less deductions,0,0,2016,44270,"North Melbourne Primary School, North Melbourne, VIC"
Income allocated to current capital projects,0,0,2016,44270,"North Melbourne Primary School, North Melbourne, VIC"
Other private sources,97992,406,2016,45587,"Altona College, Altona, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2016,44270,"North Melbourne Primary School, North Melbourne, VIC"
Subtotal,0,0,2016,44270,"North Melbourne Primary School, North Melbourne, VIC"
Total net recurrent income,6697562,9256,2016,44270,"North Melbourne Primary School, North Melbourne, VIC"
State / territory government recurring funding,2685412,11124,2016,45587,"Altona College, Altona, VIC"
Australian government recurrent funding,699283,2897,2016,45587,"Altona College, Altona, VIC"
Total net recurrent income,4054915,10615,2016,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Subtotal,0,0,2016,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Income allocated to debt servicing,0,0,2016,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Income allocated to debt servicing,0,0,2016,44270,"North Melbourne Primary School, North Melbourne, VIC"
Income allocated to current capital projects,0,0,2016,45587,"Altona College, Altona, VIC"
Other private sources,150775,279,2016,44225,"Williamstown Primary School, Williamstown, VIC"
Subtotal,0,0,2016,45545,"Brunswick Secondary College, Brunswick, VIC"
Total net recurrent income,6951465,9171,2016,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
"Fees, charges and parent contributions",288022,704,2016,44044,"Newport Lakes Primary School, Newport, VIC"
State / territory government recurring funding,2728376,6671,2016,44044,"Newport Lakes Primary School, Newport, VIC"
Australian government recurrent funding,677496,1656,2016,44044,"Newport Lakes Primary School, Newport, VIC"
Total net recurrent income,2454818,14272,2016,45797,"St John's School, Footscray, VIC"
Subtotal,173489,1009,2016,45797,"St John's School, Footscray, VIC"
Income allocated to debt servicing,23540,137,2016,45797,"St John's School, Footscray, VIC"
Income allocated to future capital projects and diocesan capital funds,17385,101,2016,45797,"St John's School, Footscray, VIC"
Subtotal,0,0,2016,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Income allocated to current capital projects,132564,771,2016,45797,"St John's School, Footscray, VIC"
Total gross income,2628307,15281,2016,45797,"St John's School, Footscray, VIC"
Other private sources,77811,452,2016,45797,"St John's School, Footscray, VIC"
"Fees, charges and parent contributions",204966,1192,2016,45797,"St John's School, Footscray, VIC"
State / territory government recurring funding,505384,2938,2016,45797,"St John's School, Footscray, VIC"
Australian government recurrent funding,1840146,10699,2016,45797,"St John's School, Footscray, VIC"
Total net recurrent income,5244435,8904,2016,44664,"Footscray West Primary School, West Footscray, VIC"
Subtotal,0,0,2016,44664,"Footscray West Primary School, West Footscray, VIC"
Income allocated to debt servicing,0,0,2016,44664,"Footscray West Primary School, West Footscray, VIC"
Less deductions,173489,1009,2016,45797,"St John's School, Footscray, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2016,44664,"Footscray West Primary School, West Footscray, VIC"
Income allocated to debt servicing,0,0,2016,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Income allocated to current capital projects,0,0,2016,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Total net recurrent income,4968158,11570,2016,48415,"Kensington Primary School, Kensington, WA"
"Fees, charges and parent contributions",286724,529,2016,44224,"Albert Park Primary School, Albert Park, VIC"
State / territory government recurring funding,3446961,6360,2016,44224,"Albert Park Primary School, Albert Park, VIC"
Australian government recurrent funding,883932,1631,2016,44224,"Albert Park Primary School, Albert Park, VIC"
Total net recurrent income,3827136,9357,2016,44044,"Newport Lakes Primary School, Newport, VIC"
Subtotal,0,0,2016,44044,"Newport Lakes Primary School, Newport, VIC"
Income allocated to debt servicing,0,0,2016,44044,"Newport Lakes Primary School, Newport, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2016,44044,"Newport Lakes Primary School, Newport, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2016,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Income allocated to current capital projects,0,0,2016,44044,"Newport Lakes Primary School, Newport, VIC"
Total gross income,3827136,9357,2016,44044,"Newport Lakes Primary School, Newport, VIC"
Other private sources,133243,326,2016,44044,"Newport Lakes Primary School, Newport, VIC"
Australian government recurrent funding,1253168,1653,2016,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
State / territory government recurring funding,4851094,6400,2016,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
"Fees, charges and parent contributions",250985,331,2016,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Other private sources,596217,787,2016,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Total gross income,6951465,9171,2016,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Less deductions,0,0,2016,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Less deductions,0,0,2016,44044,"Newport Lakes Primary School, Newport, VIC"
Subtotal,0,0,2016,48415,"Kensington Primary School, Kensington, WA"
Income allocated to current capital projects,0,0,2016,44664,"Footscray West Primary School, West Footscray, VIC"
Total gross income,5244435,8904,2016,44664,"Footscray West Primary School, West Footscray, VIC"
Income allocated to current capital projects,0,0,2016,45360,"Braybrook College, Braybrook, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2016,45360,"Braybrook College, Braybrook, VIC"
Income allocated to debt servicing,0,0,2016,45360,"Braybrook College, Braybrook, VIC"
Subtotal,0,0,2016,45360,"Braybrook College, Braybrook, VIC"
Total net recurrent income,18542751,13624,2016,45360,"Braybrook College, Braybrook, VIC"
State / territory government recurring funding,7328344,8277,2016,45454,"Princes Hill Secondary College, Princes Hill, VIC"
"Fees, charges and parent contributions",1027352,1160,2016,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Other private sources,472780,534,2016,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Less deductions,0,0,2016,45360,"Braybrook College, Braybrook, VIC"
Subtotal,0,0,2016,45538,"Bayside P-12 College, Williamstown, VIC"
Less deductions,0,0,2016,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Income allocated to current capital projects,0,0,2016,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2016,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Income allocated to debt servicing,0,0,2016,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Subtotal,0,0,2016,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Total net recurrent income,10720753,12108,2016,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Australian government recurrent funding,954462,1620,2016,44664,"Footscray West Primary School, West Footscray, VIC"
State / territory government recurring funding,3803715,6458,2016,44664,"Footscray West Primary School, West Footscray, VIC"
Total gross income,10720753,12108,2016,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Less deductions,0,0,2016,44664,"Footscray West Primary School, West Footscray, VIC"
Total gross income,18542751,13624,2016,45360,"Braybrook College, Braybrook, VIC"
"Fees, charges and parent contributions",597856,439,2016,45360,"Braybrook College, Braybrook, VIC"
Other private sources,88493,150,2016,44664,"Footscray West Primary School, West Footscray, VIC"
"Fees, charges and parent contributions",397765,675,2016,44664,"Footscray West Primary School, West Footscray, VIC"
State / territory government recurring funding,1285676,12386,2016,44948,"Carlton Primary School, Carlton, VIC"
Australian government recurrent funding,321691,3099,2016,44948,"Carlton Primary School, Carlton, VIC"
Total net recurrent income,5331075,8774,2016,44671,"Altona Primary School, Altona, VIC"
Subtotal,0,0,2016,44671,"Altona Primary School, Altona, VIC"
Income allocated to debt servicing,0,0,2016,44671,"Altona Primary School, Altona, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2016,44671,"Altona Primary School, Altona, VIC"
Other private sources,237118,174,2016,45360,"Braybrook College, Braybrook, VIC"
Income allocated to current capital projects,0,0,2016,44671,"Altona Primary School, Altona, VIC"
Total gross income,5331075,8774,2016,44671,"Altona Primary School, Altona, VIC"
Other private sources,75447,124,2016,44671,"Altona Primary School, Altona, VIC"
"Fees, charges and parent contributions",276021,454,2016,44671,"Altona Primary School, Altona, VIC"
State / territory government recurring funding,3893856,6409,2016,44671,"Altona Primary School, Altona, VIC"
Australian government recurrent funding,1085751,1787,2016,44671,"Altona Primary School, Altona, VIC"
Australian government recurrent funding,1892278,2137,2016,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Australian government recurrent funding,3540245,2601,2016,45360,"Braybrook College, Braybrook, VIC"
State / territory government recurring funding,14167532,10410,2016,45360,"Braybrook College, Braybrook, VIC"
Less deductions,0,0,2016,44671,"Altona Primary School, Altona, VIC"
