Net recurrent income,$ Total,$ per student,year,school_id,school_name
Income allocated to future capital projects and diocesan capital funds,0,0,2014,44225,"Williamstown Primary School, Williamstown, VIC"
Income allocated to current capital projects,0,0,2014,44225,"Williamstown Primary School, Williamstown, VIC"
Less deductions,0,0,2014,44225,"Williamstown Primary School, Williamstown, VIC"
Total gross income,4816726,8276,2014,44225,"Williamstown Primary School, Williamstown, VIC"
Total net recurrent income,4816726,8276,2014,44225,"Williamstown Primary School, Williamstown, VIC"
Income allocated to debt servicing,0,0,2014,44062,"Footscray Primary School, Footscray, VIC"
Subtotal,0,0,2014,44062,"Footscray Primary School, Footscray, VIC"
Total net recurrent income,3528091,9666,2014,44062,"Footscray Primary School, Footscray, VIC"
Other private sources,1074,5,2014,45587,"Altona College, Altona, VIC"
"Fees, charges and parent contributions",0,0,2014,45587,"Altona College, Altona, VIC"
State / territory government recurring funding,2086263,10227,2014,45587,"Altona College, Altona, VIC"
Australian government recurrent funding,474588,2326,2014,45587,"Altona College, Altona, VIC"
Total net recurrent income,6784575,9651,2014,50267,"Albert Park College, Albert Park, VIC"
Subtotal,0,0,2014,50267,"Albert Park College, Albert Park, VIC"
Income allocated to debt servicing,0,0,2014,50267,"Albert Park College, Albert Park, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,50267,"Albert Park College, Albert Park, VIC"
Income allocated to current capital projects,0,0,2014,50267,"Albert Park College, Albert Park, VIC"
Less deductions,0,0,2014,50267,"Albert Park College, Albert Park, VIC"
Total gross income,6784575,9651,2014,50267,"Albert Park College, Albert Park, VIC"
Other private sources,2613,4,2014,50267,"Albert Park College, Albert Park, VIC"
"Fees, charges and parent contributions",0,0,2014,50267,"Albert Park College, Albert Park, VIC"
State / territory government recurring funding,5526543,7861,2014,50267,"Albert Park College, Albert Park, VIC"
Australian government recurrent funding,1255419,1786,2014,50267,"Albert Park College, Albert Park, VIC"
Other private sources,151635,261,2014,44225,"Williamstown Primary School, Williamstown, VIC"
"Fees, charges and parent contributions",265724,457,2014,44225,"Williamstown Primary School, Williamstown, VIC"
State / territory government recurring funding,3568914,6132,2014,44225,"Williamstown Primary School, Williamstown, VIC"
Australian government recurrent funding,830453,1427,2014,44225,"Williamstown Primary School, Williamstown, VIC"
Subtotal,0,0,2014,45538,"Bayside P-12 College, Williamstown, VIC"
Total net recurrent income,14220201,14292,2014,45538,"Bayside P-12 College, Williamstown, VIC"
Australian government recurrent funding,2144357,2104,2014,45545,"Brunswick Secondary College, Brunswick, VIC"
Total net recurrent income,16152325,11048,2014,40427,"Williamstown High School, Williamstown, VIC"
Subtotal,0,0,2014,40427,"Williamstown High School, Williamstown, VIC"
Income allocated to debt servicing,0,0,2014,40427,"Williamstown High School, Williamstown, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,40427,"Williamstown High School, Williamstown, VIC"
Income allocated to current capital projects,0,0,2014,40427,"Williamstown High School, Williamstown, VIC"
Less deductions,0,0,2014,40427,"Williamstown High School, Williamstown, VIC"
Total gross income,16152325,11048,2014,40427,"Williamstown High School, Williamstown, VIC"
Other private sources,415099,284,2014,40427,"Williamstown High School, Williamstown, VIC"
"Fees, charges and parent contributions",1928685,1319,2014,40427,"Williamstown High School, Williamstown, VIC"
State / territory government recurring funding,11236367,7686,2014,40427,"Williamstown High School, Williamstown, VIC"
Australian government recurrent funding,255491,1485,2014,44634,"Spotswood Primary School, Spotswood, VIC"
State / territory government recurring funding,1121946,6523,2014,44634,"Spotswood Primary School, Spotswood, VIC"
Income allocated to debt servicing,0,0,2014,45538,"Bayside P-12 College, Williamstown, VIC"
Less deductions,0,0,2014,45587,"Altona College, Altona, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,45538,"Bayside P-12 College, Williamstown, VIC"
Less deductions,0,0,2014,45538,"Bayside P-12 College, Williamstown, VIC"
Total net recurrent income,13473740,13223,2014,45545,"Brunswick Secondary College, Brunswick, VIC"
Subtotal,0,0,2014,45545,"Brunswick Secondary College, Brunswick, VIC"
Income allocated to debt servicing,0,0,2014,45545,"Brunswick Secondary College, Brunswick, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,45545,"Brunswick Secondary College, Brunswick, VIC"
Income allocated to current capital projects,0,0,2014,45545,"Brunswick Secondary College, Brunswick, VIC"
Less deductions,0,0,2014,45545,"Brunswick Secondary College, Brunswick, VIC"
Total gross income,13473740,13223,2014,45545,"Brunswick Secondary College, Brunswick, VIC"
Other private sources,438131,430,2014,45545,"Brunswick Secondary College, Brunswick, VIC"
"Fees, charges and parent contributions",1596573,1567,2014,45545,"Brunswick Secondary College, Brunswick, VIC"
State / territory government recurring funding,9294679,9121,2014,45545,"Brunswick Secondary College, Brunswick, VIC"
Australian government recurrent funding,2367885,2380,2014,45538,"Bayside P-12 College, Williamstown, VIC"
State / territory government recurring funding,10137934,10189,2014,45538,"Bayside P-12 College, Williamstown, VIC"
"Fees, charges and parent contributions",829822,834,2014,45538,"Bayside P-12 College, Williamstown, VIC"
Other private sources,884560,889,2014,45538,"Bayside P-12 College, Williamstown, VIC"
Total gross income,14220201,14292,2014,45538,"Bayside P-12 College, Williamstown, VIC"
Income allocated to current capital projects,0,0,2014,45538,"Bayside P-12 College, Williamstown, VIC"
Australian government recurrent funding,715857,2435,2014,44714,"Footscray North Primary School, Footscray, VIC"
Australian government recurrent funding,1053566,1633,2014,44273,"Williamstown North Primary School, Williamstown, VIC"
"Fees, charges and parent contributions",117733,400,2014,44714,"Footscray North Primary School, Footscray, VIC"
Other private sources,139076,315,2014,44461,"Kensington Primary School, Kensington, VIC"
"Fees, charges and parent contributions",192563,437,2014,44461,"Kensington Primary School, Kensington, VIC"
State / territory government recurring funding,2988963,6778,2014,44461,"Kensington Primary School, Kensington, VIC"
Australian government recurrent funding,758432,1720,2014,44461,"Kensington Primary School, Kensington, VIC"
Subtotal,0,0,2014,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Income allocated to debt servicing,0,0,2014,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Total gross income,4079034,9250,2014,44461,"Kensington Primary School, Kensington, VIC"
Income allocated to current capital projects,0,0,2014,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Total gross income,9827409,11335,2014,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Other private sources,413713,477,2014,45454,"Princes Hill Secondary College, Princes Hill, VIC"
"Fees, charges and parent contributions",1022840,1180,2014,45454,"Princes Hill Secondary College, Princes Hill, VIC"
State / territory government recurring funding,6793806,7836,2014,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Australian government recurrent funding,1597050,1842,2014,45454,"Princes Hill Secondary College, Princes Hill, VIC"
